Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-09-10,37.473333333333336,96.436,8.256666666666666,18.028333333333332,15.089999999999998,24.348000000000003,7.1000000000000005,0.6583333333333333,21.175,1.3533333333333333,1.2166666666666666,0.55,,0.592,0.6,30.011666666666667,77.81666666666666,0.48500000000000004,91.92666666666668,0.041999999999999996,4.12,143.37833333333333,752.195,-0.07
2022-09-11,23.455,58.141999999999996,7.943333333333334,16.87,13.924999999999999,22.875999999999998,8.66,0.5516666666666666,22.863333333333333,1.085,1.2616666666666667,0.5116666666666666,,0.41600000000000004,0.35,29.14333333333333,81.245,0.8283333333333335,81.99333333333334,0.09,8.379999999999999,142.52666666666667,751.8933333333333,-0.07
2022-09-12,23.116666666666664,52.092,6.765000000000001,14.846666666666666,11.861666666666666,23.0,9.278333333333334,0.4266666666666667,20.085,0.7683333333333334,0.9783333333333334,0.45166666666666666,,0.458,0.304,28.816666666666666,80.22500000000001,1.3183333333333334,83.80666666666667,0.004,0.5199999999999999,120.22333333333334,751.6416666666668,-0.09
2022-09-13,24.638333333333335,50.948,7.536666666666668,14.761666666666668,12.286666666666667,23.356,8.681666666666667,0.51,23.328333333333333,1.0533333333333335,1.2233333333333334,0.5566666666666666,,0.47400000000000003,0.312,28.536666666666665,84.56666666666666,0.9883333333333333,84.40333333333334,0.24,22.82,136.20333333333335,751.94,-0.07
2022-09-14,28.146666666666665,55.60799999999999,9.288333333333332,16.343333333333334,14.518333333333333,22.586,9.565,0.6883333333333334,20.078333333333333,1.7633333333333334,1.5,0.6916666666666668,,0.6439999999999999,0.588,28.213333333333335,89.96666666666665,0.5433333333333333,81.16166666666668,0.078,7.220000000000001,71.04666666666667,752.13,-0.06
2022-09-15,28.235,71.728,9.223333333333333,16.033333333333335,14.251666666666667,23.524,7.614999999999999,0.6733333333333333,21.296666666666667,1.8416666666666668,1.4383333333333332,0.765,,0.66,0.554,28.236666666666668,88.23,0.4216666666666667,102.62166666666667,0.35,32.6,107.3,751.9366666666666,-0.06
2022-09-16,25.936666666666667,66.804,10.546666666666667,15.703333333333333,15.12,26.432,7.706666666666667,0.7766666666666667,26.55,2.2083333333333335,1.58,0.9633333333333334,,0.774,0.704,29.070000000000004,83.17333333333333,0.3116666666666667,128.89,0.032,3.12,141.99666666666667,751.4266666666666,-0.06
2022-09-17,23.30666666666667,52.986000000000004,8.933333333333334,15.43,14.133333333333333,27.365999999999996,6.381666666666667,0.7066666666666667,18.591666666666665,1.285,1.4133333333333333,0.6283333333333333,,0.584,0.504,28.516666666666666,86.96,0.365,120.485,0.23399999999999999,21.419999999999998,120.35666666666667,751.61,-0.06
2022-09-18,26.919999999999998,61.236000000000004,9.451666666666666,15.299999999999999,14.608333333333333,25.584,7.345,0.7133333333333334,17.55,1.4233333333333331,1.4416666666666667,0.685,,0.638,0.5860000000000001,29.23166666666667,85.10333333333334,0.25833333333333336,177.12833333333333,0.008,0.72,136.4933333333333,751.8449999999999,-0.05
2022-09-19,37.843333333333334,82.16,9.713333333333333,16.368333333333332,16.738333333333333,27.026,7.391666666666667,0.7083333333333334,17.986666666666668,1.9616666666666667,1.4716666666666667,0.7199999999999999,,0.6839999999999999,0.636,28.83666666666667,84.48666666666666,0.37000000000000005,114.45166666666667,0.038,3.3,117.685,751.94,-0.06
